Year: 1995, Count: 2390748
Year: 1996, Count: 2133306
Year: 1997, Count: 2188594
Year: 1998, Count: 2100684
Year: 1999, Count: 2389428
Year: 2000, Count: 2027834
Year: 2001, Count: 1245677
Year: 2002, Count: 1351625
Year: 2003, Count: 1235287
Year: 2004, Count: 1231752
Year: 2005, Count: 1061282
Year: 2006, Count: 1325923
Year: 2007, Count: 1272170
Year: 2008, Count: 649557
Year: 2009, Count: 625220
Year: 2010, Count: 663214
Year: 2011, Count: 661137
Year: 2012, Count: 668829
Year: 2013, Count: 810903
Year: 2014, Count: 984694
Year: 2015, Count: 1010461
Year: 2016, Count: 1045489
Year: 2017, Count: 1066048
Year: 2018, Count: 1035622
Year: 2019, Count: 1008423
Year: 2020, Count: 885146
Year: 2021, Count: 1242597
Year: 2022, Count: 912337
Year: 2023, Count: 273139
